Geography,EB,Age,EstimatedSalary,NumOfProducts,CreditScore,Tenure,HasCrCard,IsActiveMember,Exited,Gender
0,0.0,2,1,2,1,2,1,1,0,1
0,0.0,2,0,1,2,4,1,1,1,0
0,0.0,1,1,2,0,8,1,0,0,1
0,0.507888193,1,2,1,2,1,1,0,0,0
1,0.0,1,1,1,0,0,0,1,0,0
1,0.0,1,2,2,1,5,0,1,0,1
2,0.749761787,1,1,2,1,7,1,0,0,0
0,0.604573801,2,1,2,1,8,0,0,1,0
0,4.770922346,1,0,2,0,3,1,0,0,0
0,0.0,1,1,2,0,1,0,0,0,1
0,1.069637186,1,1,1,1,8,1,0,0,1
1,0.481819956,1,1,2,0,9,1,0,0,1
0,291.1422313,1,0,1,2,3,1,1,0,1
1,0.0,1,0,2,1,6,1,1,0,0
2,0.679235004,1,2,1,2,3,1,1,0,1
0,0.0,2,0,2,0,10,1,1,0,1
0,9.193344291,1,0,1,0,6,1,0,0,1
1,23.59238734,1,0,1,2,2,1,1,0,1
0,0.86830571,2,1,1,2,4,0,1,0,1
1,0.0,2,1,1,0,5,0,1,1,1
0,8.975535066,1,0,2,1,2,1,1,1,0
1,1.866115803,1,1,1,0,3,1,0,0,1
0,0.0,1,2,1,0,3,1,1,0,1
1,0.450384873,2,2,1,1,3,0,0,1,0
0,0.888125246,1,2,1,1,5,1,1,0,1
0,0.0,2,1,1,1,5,1,0,1,1
0,0.672145486,2,2,1,1,2,0,1,0,1
2,0.95532427,1,2,2,1,2,1,0,0,1
0,0.0,1,2,2,1,8,1,1,0,1
0,0.0,2,1,2,1,9,0,0,0,0
0,1.552312772,1,0,1,1,1,1,1,0,0
2,1.957509437,1,1,2,0,4,0,0,0,1
2,0.676467922,2,2,1,1,7,0,1,1,1
0,0.372254268,2,1,1,1,7,1,0,0,1
1,0.0,1,2,2,2,9,0,0,0,0
0,3.032538371,2,0,2,2,1,1,0,1,1
0,0.0,2,0,1,1,8,1,1,1,1
0,1.168503982,1,1,2,2,9,1,1,0,0
1,0.0,1,1,1,0,7,0,1,0,1
0,0.0,2,2,2,0,2,1,1,0,1
0,0.0,1,0,1,2,10,1,0,1,1
2,0.914503348,2,1,1,1,6,1,1,1,1
0,0.860304829,1,2,2,1,4,1,0,0,1
0,0.0,1,0,2,1,9,1,1,0,0
2,0.869961253,1,1,3,0,6,1,1,1,0
2,1.254929361,2,1,1,2,2,1,0,1,1
2,2.143052748,1,1,1,1,3,1,0,0,0
0,0.0,2,1,2,1,1,0,1,0,1
0,0.0,1,1,2,1,0,1,0,0,1
0,0.0,1,2,2,0,1,0,1,0,0
2,0.797375342,0,2,2,2,3,0,1,0,1
0,1.223657864,2,1,2,1,5,0,1,0,0
2,2.9931844,2,0,1,2,6,1,0,1,1
0,0.0,1,1,1,1,2,1,1,0,0
2,2.082656858,2,1,3,0,3,1,0,1,0
0,0.0,2,1,3,1,2,1,0,1,0
0,0.498573509,1,2,2,1,2,0,1,0,1
1,0.0,1,1,2,1,4,1,0,0,1
2,0.941563914,1,1,1,2,5,1,0,0,0
0,1.428848363,1,1,2,1,8,0,1,0,1
2,2.605031296,2,0,1,1,6,1,1,1,1
1,0.0,1,1,2,0,7,1,0,0,1
0,0.935919341,1,1,1,1,10,1,0,1,0
2,1.919063515,1,1,2,2,7,1,0,0,1
0,0.0,1,2,2,0,1,1,1,0,0
2,0.654268455,1,2,1,1,8,1,1,0,1
2,0.940465962,2,1,1,2,8,1,0,1,1
2,0.779982244,1,1,1,2,5,0,0,0,0
1,0.0,1,1,2,1,1,1,1,0,0
0,0.0,2,2,2,1,0,0,1,0,0
2,1.38522176,1,1,1,0,2,1,1,0,1
1,0.0,1,2,1,1,8,0,0,0,1
1,0.0,2,0,2,2,0,0,1,0,1
0,0.0,1,2,2,2,10,1,1,0,1
2,0.237492697,1,2,2,1,6,0,0,0,0
0,2.536649874,1,0,1,1,6,1,1,0,0
2,0.391938565,1,1,1,2,3,1,1,0,1
2,1.664771931,2,1,2,2,9,1,1,0,1
1,1.55318964,2,1,1,2,6,1,0,0,0
0,12.34828676,1,0,2,0,6,1,0,0,0
0,0.989048993,1,1,1,1,0,0,1,0,0
1,4.246953843,1,0,1,2,9,1,1,0,1
1,0.805935681,1,1,1,0,9,1,0,0,0
0,0.0,1,1,2,0,2,1,1,0,1
0,0.0,1,0,2,1,7,1,0,0,1
1,0.0,1,1,1,0,7,0,0,1,0
2,0.325586031,1,2,1,2,7,1,0,0,0
1,0.0,2,2,2,1,9,0,1,0,1
2,2.066302177,1,0,3,2,3,1,0,1,1
2,0.801209608,1,2,2,2,1,1,1,0,0
0,0.0,1,0,2,1,8,1,0,0,1
2,1.550915693,1,1,1,1,4,0,1,0,1
1,0.0,1,1,2,1,7,1,1,0,0
0,0.0,2,0,1,2,3,1,1,1,1
0,0.0,2,2,2,2,10,1,0,0,0
0,0.511561335,1,2,1,1,6,0,1,0,1
0,0.0,2,2,1,1,1,1,0,1,1
0,0.0,1,0,2,2,8,1,1,0,1
1,0.0,1,1,2,2,10,1,1,0,1
2,2.935738942,1,0,1,0,4,1,1,1,1
0,4.569110305,2,0,1,2,7,1,1,0,1
0,0.904233498,1,2,2,2,8,0,1,0,0
0,3.274074712,1,0,2,1,7,1,0,0,1
1,0.644466806,1,2,1,1,5,1,0,0,1
0,1.180595715,1,1,1,0,8,1,0,0,0
1,0.915261304,1,2,1,2,5,1,1,0,0
1,0.0,1,1,2,1,10,1,0,0,1
2,0.460447819,2,1,1,1,9,0,1,0,1
1,0.484905826,2,2,2,2,5,1,0,0,0
0,0.0,1,1,2,0,7,1,0,0,1
1,0.750140374,1,2,1,2,9,0,0,1,0
0,0.0,1,1,2,1,3,1,1,0,1
0,1.84509923,1,1,1,2,2,1,0,0,1
0,1.173789483,1,1,1,1,4,1,1,0,0
1,0.0,2,2,3,1,7,1,0,1,0
0,0.917083391,2,2,1,0,0,1,1,0,1
0,0.0,1,1,2,1,5,1,1,0,1
0,0.0,1,2,2,1,10,1,0,0,0
1,8.556753481,1,0,1,1,6,0,0,0,0
0,0.0,1,0,2,1,8,1,0,0,1
0,0.0,1,2,2,1,6,1,1,0,0
0,1.250342306,1,1,1,0,4,0,0,0,1
0,4.220689775,1,0,1,1,1,1,1,0,1
0,0.0,2,2,1,2,2,1,1,1,1
2,4.928540118,1,0,2,1,7,1,0,0,1
0,1.078149362,2,1,1,1,4,1,0,1,1
2,1.744635213,1,0,1,0,8,1,0,0,1
0,0.0,2,2,2,1,4,1,1,0,0
2,0.438762448,1,1,1,2,6,1,0,0,1
0,0.0,1,2,2,1,3,0,0,0,1
2,0.740042008,2,2,1,2,0,1,0,0,0
1,1.763542798,1,1,1,2,2,1,1,0,1
1,0.0,1,1,2,0,3,0,0,0,1
0,1.220082689,2,1,1,0,2,1,0,1,1
1,0.0,2,0,2,1,9,1,1,0,1
1,0.0,1,1,1,1,3,1,0,0,0
0,2.073645111,1,0,1,0,4,1,0,0,1
1,2.26484165,2,1,1,0,2,1,1,0,0
0,8.688617892,1,0,1,1,8,1,1,0,0
0,0.761751607,1,2,1,2,1,1,0,1,1
0,0.0,1,0,2,2,4,0,0,0,0
0,0.0,1,1,2,2,3,1,0,0,1
0,1.076761475,1,1,1,1,4,1,0,0,1
0,0.0,1,1,2,1,2,1,0,0,1
0,0.877531708,2,1,1,1,9,1,0,1,0
2,0.809155237,1,2,1,1,1,1,1,0,1
2,1.22175594,1,1,2,1,7,1,1,0,1
0,0.0,2,1,2,1,7,0,1,0,1
1,7.645092677,1,0,1,1,1,1,0,0,0
2,0.808877899,2,1,2,1,2,0,1,0,1
2,0.630098053,1,2,1,1,8,1,0,1,0
1,19.34093077,1,0,1,1,6,1,0,0,0
0,1.558898509,1,1,1,0,7,1,0,1,1
2,0.864137252,1,2,2,1,3,0,1,0,0
0,0.0,1,0,2,1,2,1,0,0,1
1,11.713245,1,0,1,2,5,1,0,1,0
2,2.648936302,1,0,1,1,10,1,0,1,0
2,1.504107412,1,1,2,1,6,0,1,1,0
0,0.732432946,1,2,1,1,4,0,0,0,1
1,0.0,2,0,2,0,5,1,1,0,0
0,0.0,1,1,2,0,8,0,0,0,1
0,0.0,1,0,2,2,7,1,0,0,0
0,0.0,2,1,2,2,7,1,0,0,0
2,0.773364978,1,1,2,1,9,1,0,0,0
2,5.294432483,2,0,1,1,3,1,1,0,1
2,0.90778435,1,1,1,1,1,1,1,0,0
0,0.0,1,1,2,0,5,1,1,0,1
1,1.050550964,1,1,2,1,3,1,1,0,1
1,4.341589889,1,0,1,2,2,1,1,0,1
1,2.735065201,1,1,1,0,7,1,0,0,0
1,0.0,1,1,2,1,6,1,1,0,1
0,1.27589011,2,1,2,1,1,1,1,0,0
0,0.0,1,2,2,0,0,1,0,0,1
1,0.958259614,2,1,2,2,8,1,1,0,0
1,0.725608975,1,2,1,0,9,1,0,1,1
0,0.825277092,2,1,1,2,1,1,1,0,1
0,0.0,2,0,2,0,3,0,1,0,1
1,0.0,1,2,2,1,3,0,1,0,1
2,65.01962534,2,0,1,1,2,0,1,1,0
0,0.540961509,2,2,1,1,9,1,1,0,0
2,9.05155296,1,0,2,0,9,1,0,0,0
0,0.0,2,2,2,1,9,1,1,0,1
1,0.0,1,2,1,1,3,1,1,0,0
2,0.505708263,2,2,2,0,9,1,0,0,0
2,0.542638254,1,2,2,0,8,1,1,0,0
2,0.749465355,1,1,2,1,2,0,1,0,1
0,4.477810251,1,0,1,1,2,1,0,0,0
1,13.39345026,2,0,1,2,4,1,1,0,1
2,0.937221747,2,1,2,1,1,0,1,0,0
2,0.587966634,1,2,2,1,0,1,1,0,1
2,0.666178154,1,2,1,2,1,1,1,0,1
2,0.339032685,1,2,2,1,7,1,1,0,1
0,0.0,1,0,1,2,8,0,1,0,0
2,0.957923296,2,1,3,2,10,1,1,1,1
1,1.189399835,1,1,1,0,4,1,0,0,1
1,1.737993616,1,0,1,1,2,1,0,0,0
1,0.0,1,2,3,1,2,0,0,1,0
0,0.0,2,1,2,0,9,1,1,0,0
0,0.820706822,1,1,2,1,7,1,0,0,1
2,0.526031045,1,1,2,0,10,0,1,0,0
2,0.858482348,1,1,2,1,8,1,0,0,1
2,1.284625512,2,1,1,1,3,1,0,0,1
0,0.0,2,0,1,0,9,1,1,0,0
1,0.0,2,0,2,1,6,1,0,0,1
1,0.0,2,2,2,2,2,1,1,0,1
1,0.0,2,2,2,1,2,0,1,0,0
0,17.43819182,1,0,2,0,10,1,0,0,0
2,1.733132114,1,1,1,1,7,1,1,0,0
2,2.55882699,1,1,1,2,3,1,1,0,1
1,1.643400798,2,1,2,1,9,1,0,1,1
1,0.0,1,0,2,0,8,0,0,1,1
1,1.363746351,1,1,1,1,0,1,1,0,0
2,0.892600233,1,2,2,1,2,0,1,0,0
0,146.8900418,1,0,1,0,3,1,1,0,1
2,2.297195353,1,1,1,0,8,1,0,0,1
0,0.0,1,1,2,1,9,0,1,0,0
0,0.738914454,2,2,1,1,1,1,0,1,0
0,0.58179116,2,1,1,1,1,1,0,0,1
2,0.84051634,1,2,1,1,4,1,1,0,0
1,0.0,2,2,2,2,8,0,1,0,1
1,1.237112564,1,1,2,0,6,0,1,0,1
0,0.0,1,1,2,1,8,1,1,0,1
0,0.0,1,0,1,2,9,1,0,0,1
1,0.813871852,2,2,1,0,9,0,0,1,0
1,0.0,1,1,2,1,4,1,0,0,0
2,0.958471694,1,2,2,1,10,1,1,0,1
2,1.295470548,2,1,1,0,3,1,0,0,0
1,0.0,1,1,2,1,10,0,0,0,1
0,0.0,1,1,2,2,1,1,1,0,1
1,0.88520822,1,1,1,2,3,1,1,0,0
2,0.965583091,2,2,3,1,9,1,1,1,0
1,0.0,1,2,2,2,8,1,0,0,1
1,0.0,1,2,2,1,8,0,0,0,1
2,9.694629956,2,0,1,0,5,0,0,1,0
0,0.944047879,1,1,1,0,9,1,1,0,0
0,0.0,2,1,2,1,6,0,0,0,0
0,0.0,1,2,2,1,6,0,0,0,0
2,1.239517712,2,1,1,2,3,1,0,1,0
0,0.0,1,1,2,1,2,1,0,0,0
2,13.74902809,1,0,1,0,7,1,0,1,1
0,0.0,1,1,1,1,4,1,0,0,0
0,0.0,1,0,1,1,9,1,0,0,1
0,1.656264766,1,1,1,1,9,1,0,0,1
2,0.838422297,1,1,2,0,10,1,0,0,1
0,2.940641992,2,0,1,1,0,1,1,0,1
2,0.936317374,1,1,1,0,9,1,0,0,0
2,0.737607256,1,1,1,0,1,0,0,1,1
2,1.903549277,2,1,1,1,3,1,1,1,1
2,0.640598471,2,2,2,2,2,0,1,0,1
2,2.364554729,1,0,1,0,0,1,0,0,0
2,0.843467173,1,1,1,0,8,1,0,1,0
0,0.0,1,1,1,1,8,0,0,0,1
0,1.160184266,2,1,1,2,3,0,1,0,0
2,0.615211687,1,1,2,1,4,1,0,0,0
0,0.869825932,1,1,2,0,10,0,0,0,1
0,2.471494332,1,1,2,2,2,1,0,0,0
2,0.522101007,2,2,1,0,3,1,1,0,0
0,0.0,1,1,1,1,3,0,0,0,0
0,0.0,1,1,2,2,9,1,0,0,0
0,1.732022115,1,1,2,0,7,1,1,0,0
0,1.035552824,2,1,1,2,2,1,1,0,1
1,0.799758401,2,1,1,0,3,0,0,1,1
0,0.42491418,1,2,1,2,1,0,1,0,0
0,0.0,1,1,1,2,2,0,0,0,1
0,1.252886602,1,1,1,0,4,1,1,0,1
0,0.490468882,1,1,1,1,6,0,0,1,0
1,1.020885763,2,1,2,2,6,1,0,0,0
2,4.36424118,1,0,1,0,7,1,0,0,0
0,0.0,1,1,2,2,9,0,1,0,1
1,2.506094984,1,0,1,1,7,0,0,0,1
1,2.240856207,2,1,1,1,3,1,0,0,0
0,2.251051841,1,1,1,2,6,0,1,0,0
0,0.0,1,2,2,0,5,1,0,0,1
0,0.0,1,0,1,2,3,1,1,0,1
0,0.0,1,1,2,1,3,1,0,0,1
2,0.479522264,2,2,1,0,1,0,1,1,1
1,0.0,1,2,1,1,8,1,1,0,1
2,0.570646968,1,2,2,0,1,1,1,0,1
0,0.0,1,0,2,0,3,1,0,0,1
1,1.017004586,1,1,2,0,3,1,0,0,0
0,2.749071332,1,0,1,1,4,1,1,1,0
1,0.0,1,2,2,2,4,1,1,0,1
0,1.308116811,1,1,1,1,9,1,0,0,1
1,0.0,1,0,2,2,9,1,1,0,0
2,1.820142528,1,1,3,2,5,1,0,1,0
0,0.0,1,1,2,0,8,1,0,0,1
0,0.0,1,2,2,2,3,1,1,0,1
1,0.759178435,1,2,1,1,10,1,1,0,1
0,7.259643034,1,0,1,1,1,1,0,1,1
0,3.302604296,1,0,1,2,2,1,0,0,1
0,0.0,1,1,2,2,8,1,0,0,1
0,0.0,1,1,2,0,1,1,0,0,0
2,4.079673403,2,0,1,1,6,0,0,1,1
2,0.642665471,1,2,1,1,1,1,1,0,0
0,0.684130792,1,1,2,1,8,1,0,0,0
0,0.0,1,1,1,0,7,1,1,0,1
0,3.893819477,1,0,1,1,4,1,1,0,1
1,0.863583985,1,2,1,2,6,0,1,0,1
0,0.0,1,2,2,0,5,1,0,0,0
0,0.0,1,1,3,2,8,0,0,0,1
2,0.79463242,1,1,2,0,9,1,0,0,1
1,0.0,2,2,2,1,9,1,0,1,1
0,2.894183321,1,1,1,2,0,1,1,0,0
0,0.0,1,1,2,1,7,1,0,0,1
0,9.412159324,1,0,1,0,3,1,1,1,1
0,0.0,1,1,2,1,2,0,1,0,1
2,1.798455393,2,1,1,1,9,1,1,0,0
1,0.496756685,1,2,1,1,1,1,1,0,1
0,15.63190363,2,0,1,1,2,1,1,0,0
0,0.685447343,1,1,2,1,4,0,1,0,0
0,0.0,2,2,1,0,6,0,0,1,0
0,1.26063922,1,1,2,1,2,0,0,1,0
2,1.265836091,1,1,2,2,8,1,1,0,1
0,1.673192262,1,1,2,1,6,1,0,0,0
0,0.564370607,1,1,1,2,5,1,1,0,1
2,0.956890277,1,1,2,2,8,1,1,0,1
0,0.0,2,1,1,0,8,0,1,1,0
1,0.0,1,1,2,0,4,1,1,0,1
0,0.0,2,1,2,1,5,1,1,0,1
0,1.158575489,2,1,1,2,5,1,0,1,1
1,0.69726076,2,1,2,1,9,1,1,0,1
1,0.0,2,2,1,0,4,0,0,0,0
0,0.0,1,0,2,1,5,1,0,0,1
2,5.515885405,1,0,1,1,7,1,0,0,1
2,0.734459018,1,2,1,1,6,1,0,0,0
0,0.0,1,1,2,2,5,1,1,0,1
1,0.0,1,1,2,1,2,1,1,0,0
2,0.415539638,1,2,2,0,10,1,1,0,0
2,0.882546201,1,1,2,1,6,1,0,0,0
1,0.0,1,1,2,2,5,0,0,0,1
0,10.19271792,1,0,1,2,6,1,1,0,1
0,2.029318771,2,1,1,1,3,1,1,1,0
1,0.0,1,1,2,2,9,1,0,0,1
0,0.0,2,1,3,0,10,0,1,1,0
2,0.883515791,1,1,2,2,7,1,0,0,1
0,0.569343108,2,2,2,1,4,0,1,1,1
0,0.709141446,2,1,1,1,6,0,1,0,1
0,1.123029555,1,2,1,2,1,1,0,1,0
0,1.101883651,2,1,1,2,7,1,1,0,1
1,0.673809883,1,1,2,0,5,1,1,0,1
2,0.872705321,1,1,1,1,8,1,1,0,1
0,1.24731999,2,1,1,1,3,0,0,0,1
0,0.0,1,1,2,2,2,1,1,0,0
0,0.0,2,2,2,1,2,1,1,0,1
0,0.0,1,2,2,1,8,1,0,0,1
2,3.978673996,2,0,1,0,3,1,0,1,0
0,0.824054891,1,1,1,1,1,1,1,0,1
1,3.984875028,2,0,2,0,2,1,1,0,0
1,2.263178807,1,1,1,1,4,0,1,0,0
0,1.172365365,1,1,1,2,6,1,1,0,1
1,0.773816575,1,1,1,0,10,1,0,0,1
0,2.116942153,1,1,1,0,7,1,0,0,0
0,0.0,2,1,1,1,1,1,0,1,1
2,2.169005704,1,1,2,1,10,1,0,0,1
1,0.0,1,1,2,1,9,1,0,0,1
2,6.29382158,2,0,3,0,5,0,1,1,0
2,1.515795358,1,1,1,2,1,1,0,1,0
0,1.110899483,1,1,2,2,8,1,1,0,1
0,0.0,1,2,2,1,9,1,1,0,1
0,0.605947598,2,1,1,1,4,1,1,0,0
1,1.552206556,2,1,1,2,0,1,0,1,1
0,0.0,2,1,3,0,7,0,1,1,0
1,0.88951082,2,1,2,2,2,1,0,0,0
0,0.0,1,0,2,1,0,1,0,0,1
2,3.437545233,1,0,2,0,7,1,0,0,0
0,1.615282008,2,1,2,0,7,1,1,0,1
